carat,cut,color,clarity,depth,table,price,z
0.9,0,2,1,65,61,2883,3.89
0.71,4,3,5,61.5,57,2893,3.53
0.72,1,4,4,59.4,61,2897,3.48
0.73,4,4,3,62.7,58,2939,3.6
0.76,4,1,7,61.6,55,2988,3.64
0.82,4,5,1,62.2,57,3012,3.72
0.81,3,4,2,61.9,59,3043,3.69
0.71,0,3,6,62.8,57,3062,3.53
0.9,2,3,1,60.1,60,3114,3.77
1.16,0,2,1,68.2,55,3118,4.38
0.71,3,6,3,59.2,59,3161,3.45
0.87,0,1,3,57.3,59,3166,3.65
0.73,4,6,2,61.9,56,3189,3.58
0.91,1,0,4,64.2,60,3210,3.84
0.73,4,4,2,61.7,55,3249,3.58
0.72,4,2,4,60.7,55,3274,3.54
0.86,4,6,1,60.2,56,3284,3.72
1.04,1,0,3,58.2,64,3285,3.85
0.93,3,4,1,60,60,3333,3.8
1.04,3,5,1,61.6,59,3392,4
0.77,1,4,4,59.3,56,3393,3.56
1.01,3,0,1,63,60,3421,4
0.7,2,5,5,61.5,58,3429,3.5
0.9,3,4,2,62.6,62,3437,3.83
0.82,2,3,4,63.3,56,3460,3.78
1,0,2,1,66.1,59,3472,4.07
0.72,4,3,4,61.7,56,3478,3.56
0.7,2,6,4,61.2,56,3567,3.5
0.71,4,6,4,60.4,60,3576,3.5
0.79,3,5,4,62.6,56,3583,3.69
1.05,3,0,3,59.4,62,3593,3.93
0.71,3,6,5,60,58,3618,3.53
0.7,2,4,6,63.1,58,3622,3.55
1.1,4,4,0,61.3,56.9,3623,4.08
1,3,6,1,62,60,3634,3.93
0.9,3,2,2,62,62,3679,3.77
0.75,4,6,2,61.1,56,3712,3.59
0.91,4,5,1,61.8,53,3723,3.87
0.7,2,5,6,62.5,56,3724,3.54
0.9,1,4,1,58,57,3770,3.7
0.9,2,2,2,60.8,57,3770,3.79
0.9,0,4,1,62.6,58,3787,3.78
1.01,3,5,1,61.8,61,3801,3.9
1.01,2,0,1,62.8,59,3906,3.99
0.81,4,4,4,61.5,55,3933,3.68
1.01,2,3,1,62.1,61,3966,3.93
1.08,1,0,3,64.3,58,3980,4.15
0.9,2,2,3,62.1,57,3989,3.85
1,2,2,1,63,61,4015,3.99
0.92,3,2,4,61.7,62,4039,3.8
0.71,4,5,4,61.9,56,4053,3.54
0.96,3,3,1,61.1,59,4059,3.85
1.12,3,2,1,61,59,4077,4.08
0.91,3,2,3,61,59,4128,3.84
0.9,2,3,3,63.4,59,4135,3.87
1,3,4,1,62.8,57,4155,4.02
1.01,0,2,2,64.6,55,4191,4.05
0.85,2,6,3,61.8,56,4211,3.75
0.9,2,2,4,63.5,59,4234,3.88
1.07,3,2,2,58.9,59,4235,3.97
1.02,3,4,1,62,59,4238,3.95
0.79,4,5,4,62,56,4240,3.67
0.9,4,3,1,60.7,57,4314,3.8
1.07,2,5,2,60.4,63,4314,4.01
1.01,0,4,1,65.3,59,4317,4.09
1.12,3,1,3,62.4,58,4321,4.13
0.93,2,5,1,60.5,57,4325,3.84
1.08,4,2,2,62.2,57,4333,4.09
1.01,2,5,1,63.5,55,4363,4.03
0.9,3,3,3,61.8,60,4386,3.82
1.09,3,2,1,61.2,62,4395,4.04
1.01,3,5,1,62.5,60,4434,4
0.9,3,6,3,58.7,62,4505,3.7
0.91,0,5,3,61.8,66,4550,3.77
1.05,1,6,1,60,63,4560,3.97
1.11,3,5,1,62.5,58,4581,4.14
1.21,3,0,4,61,60,4675,4.18
1.01,2,1,2,63.3,54,4749,4.02
1.01,3,5,1,62.6,59,4751,3.99
1.11,4,1,2,62.3,58,4771,4.13
1.01,4,2,2,62.9,55,4773,4.01
1.01,2,1,2,63.5,53,4794,4.04
1.04,1,4,2,63.1,57,4828,4.03
1.01,2,4,2,63.5,59,4846,4.03
1.09,2,4,1,63.2,58,4853,4.12
1.01,4,2,2,62.3,59,4876,3.98
1.02,2,2,2,63.4,57,4884,4.05
1.22,3,1,1,62.3,58,4919,4.25
1.05,1,2,2,63.2,56,4937,4.1
1.01,2,2,3,61,63,4959,3.9
1.15,3,2,1,62.9,56,4959,4.18
1.11,3,2,2,61.9,58,4960,4.09
1.12,4,1,3,62.8,55,4986,4.19
1.03,2,5,2,61.3,60,5010,4
1.24,2,1,2,62.5,57,5046,4.29
1.01,1,3,3,60.2,65,5050,3.92
1.16,4,1,2,62.6,57,5091,4.19
1.01,2,6,2,61.5,54,5132,3.96
1,0,2,4,64.6,59,5242,4.06
1.25,4,1,1,61.8,56,5259,4.28
1,3,4,2,60.7,60,5292,3.87
1.07,4,4,1,61.4,56,5313,4.05
1.13,3,2,2,62.1,58,5410,4.15
1.5,4,1,0,61.8,57,5412,4.54
0.91,4,5,2,62.3,55,5431,3.87
0.9,1,4,5,61.8,63,5480,3.81
1,0,3,3,63.7,55,5484,3.98
1.2,2,1,1,63.7,56,5490,4.26
1.01,4,3,2,61.1,58,5497,3.95
1,3,5,2,61.6,59,5500,3.94
1.32,2,0,1,61.7,60,5513,4.31
1.03,3,2,4,62,59,5523,4.01
1.03,4,6,2,62.4,57,5551,4.03
1.05,1,2,3,63.7,58,5592,4.09
1.1,4,3,2,61.6,56,5610,4.09
1.01,4,2,2,61.2,56,5664,3.95
1.01,1,5,2,63.9,56,5724,4.05
1,4,5,2,62.8,54.2,5728,4.01
1,0,5,3,67,54,5729,4.16
0.81,4,5,6,62.5,54,5752,3.73
1.2,4,1,2,60.3,56,5763,4.17
1.06,3,3,3,62.3,59,5813,4.05
1.13,3,2,4,58.9,58,6005,4
1.04,4,3,3,62.5,57,6012,4.06
1.01,2,3,3,62.4,58,6019,4
1.2,2,2,2,62.5,59,6019,4.18
1.22,2,2,2,61.2,60,6071,4.2
1.34,4,2,3,61.2,56,6078,4.33
1.07,2,5,3,62.5,57,6120,4.1
1.01,2,5,3,62.3,58,6310,4
1.01,2,3,3,61.6,60,6406,3.97
1.34,3,3,1,61.7,58,6464,4.36
0.9,2,5,5,62,55,6466,3.8
1.03,3,3,4,62.1,59,6479,4
1.05,4,3,3,61.9,56,6486,4.05
1,2,4,3,61.1,60,6619,3.91
1.11,3,3,3,60.8,58,6713,4.06
1.21,1,2,4,63.3,58,6748,4.27
1.12,4,4,3,60.9,55,6858,4.08
1.15,3,3,3,62.9,58,6955,4.19
1.39,1,4,1,63.8,55,6969,4.51
1.06,4,6,3,62.5,54,6981,4.1
1.05,2,3,4,62.3,56,7010,4.04
1.25,4,1,4,61.4,58,7042,4.24
1.3,2,2,3,62.5,59,7092,4.34
1.23,4,1,6,62.1,57,7117,4.26
1.32,2,1,3,60.5,59,7125,4.26
1,2,3,5,63,56,7177,4.02
1.4,3,3,1,62,60,7225,4.42
1.19,4,1,4,61.6,56,7328,4.2
1,2,5,4,59.4,56,7367,3.89
1.2,4,3,2,61.6,57,7372,4.23
1.56,1,2,1,59.2,59,7554,4.44
1.27,4,5,2,62.4,58,7631,4.3
1.08,3,4,3,62.1,59,7637,4.08
1.03,4,4,4,61.5,56,7906,4
1.21,2,4,3,63.5,55,7928,4.28
1.5,3,1,2,62.3,57,7955,4.52
1.3,2,3,2,61,57,7985,4.29
1.15,3,4,4,62.7,58,8018,4.2
1.53,4,1,1,61.3,59,8062,4.54
1.01,3,6,4,60,58,8286,3.94
1.7,3,4,1,60.2,61,8397,4.66
1.6,4,0,2,62.8,55,8418,4.68
1.12,4,6,3,62,55,8430,4.12
1.51,2,4,1,63.2,60,8462,4.57
1.02,4,5,4,62.6,56,8545,4.03
1.55,4,0,4,60.4,57,8548,4.55
1.01,4,4,5,61,57,8688,3.96
1.27,3,3,3,61,60,8705,4.24
1.05,4,4,5,61.9,57,8870,4.03
1.6,4,0,3,61.9,55,8886,4.66
1.24,4,5,3,62.7,58,8887,4.28
1.12,2,3,7,60.9,57,8962,4.1
1.52,2,6,1,63.2,58,9030,4.6
1.14,4,4,4,61.7,55,9074,4.13
1.2,3,5,3,63,58,9139,4.24
1.16,2,3,5,61.6,58,9205,4.13
1.51,4,1,3,61.6,57,9352,4.5
1.18,4,5,4,62.4,54,9709,4.22
1.24,3,4,4,60.1,59,9738,4.21
1.51,1,5,1,63.2,56,9833,4.61
1.5,3,5,1,61.2,59,9900,4.52
1.35,3,3,4,62.1,59,10012,4.37
1.89,3,3,1,62.9,58,10055,4.93
1.02,4,5,5,61.5,57,10384,4.01
1.61,3,4,2,60.2,58,10477,4.59
2,3,1,1,62.3,57,10528,5.03
1.28,4,3,5,61.2,54,10839,4.31
2,0,2,1,67.9,55,10913,5.18
1.01,3,6,5,62.4,58,10927,4
1.18,4,5,4,61.4,57,11104,4.17
1.56,4,3,2,61.2,56,11522,4.59
1.52,3,4,2,62.6,59,11637,4.58
1.08,4,5,6,61,56,12098,4.05
1.09,4,6,5,61.3,57,12185,4.07
2,2,0,2,62.2,59,12196,4.94
1.5,3,3,3,62.9,54,12308,4.58
1.7,2,1,4,62.3,58.1,12311,4.74
2.01,3,0,1,62,59,12403,5
1.83,3,5,1,62,57,12492,4.87
1.63,4,2,3,61.3,56,12620,4.65
2,1,3,1,64.3,56,12654,5.09