carat,cut,color,clarity,depth,table,price,x,y,z
0.9,Fair,H,SI2,65,61,2883,6.01,5.96,3.89
0.71,Ideal,G,VVS2,61.5,57,2893,5.73,5.75,3.53
0.72,Good,F,VS1,59.4,61,2897,5.82,5.89,3.48
0.73,Ideal,F,VS2,62.7,58,2939,5.72,5.77,3.6
0.76,Ideal,I,IF,61.6,55,2988,5.92,5.89,3.64
0.82,Ideal,E,SI2,62.2,57,3012,6,5.97,3.72
0.81,Premium,F,SI1,61.9,59,3043,5.97,5.95,3.69
0.71,Fair,G,VVS1,62.8,57,3062,5.67,5.57,3.53
0.9,Very Good,G,SI2,60.1,60,3114,6.22,6.32,3.77
1.16,Fair,H,SI2,68.2,55,3118,6.47,6.37,4.38
0.71,Premium,D,VS2,59.2,59,3161,5.86,5.8,3.45
0.87,Fair,I,VS2,57.3,59,3166,6.29,6.44,3.65
0.73,Ideal,D,SI1,61.9,56,3189,5.8,5.77,3.58
0.91,Good,J,VS1,64.2,60,3210,6.01,5.95,3.84
0.73,Ideal,F,SI1,61.7,55,3249,5.79,5.82,3.58
0.72,Ideal,H,VS1,60.7,55,3274,5.83,5.85,3.54
0.86,Ideal,D,SI2,60.2,56,3284,6.16,6.19,3.72
1.04,Good,J,VS2,58.2,64,3285,6.64,6.53,3.85
0.93,Premium,F,SI2,60,60,3333,6.36,6.31,3.8
1.04,Premium,E,SI2,61.6,59,3392,6.51,6.47,4
0.77,Good,F,VS1,59.3,56,3393,5.98,6.03,3.56
1.01,Premium,J,SI2,63,60,3421,6.38,6.31,4
0.7,Very Good,E,VVS2,61.5,58,3429,5.67,5.71,3.5
0.9,Premium,F,SI1,62.6,62,3437,6.13,6.11,3.83
0.82,Very Good,G,VS1,63.3,56,3460,5.96,5.98,3.78
1,Fair,H,SI2,66.1,59,3472,6.18,6.13,4.07
0.72,Ideal,G,VS1,61.7,56,3478,5.75,5.78,3.56
0.7,Very Good,D,VS1,61.2,56,3567,5.68,5.75,3.5
0.71,Ideal,D,VS1,60.4,60,3576,5.77,5.82,3.5
0.79,Premium,E,VS1,62.6,56,3583,5.92,5.87,3.69
1.05,Premium,J,VS2,59.4,62,3593,6.66,6.58,3.93
0.71,Premium,D,VVS2,60,58,3618,5.92,5.84,3.53
0.7,Very Good,F,VVS1,63.1,58,3622,5.6,5.66,3.55
1.1,Ideal,F,I1,61.3,56.9,3623,6.62,6.68,4.08
1,Premium,D,SI2,62,60,3634,6.38,6.3,3.93
0.9,Premium,H,SI1,62,62,3679,6.13,6.03,3.77
0.75,Ideal,D,SI1,61.1,56,3712,5.85,5.9,3.59
0.91,Ideal,E,SI2,61.8,53,3723,6.22,6.3,3.87
0.7,Very Good,E,VVS1,62.5,56,3724,5.63,5.7,3.54
0.9,Good,F,SI2,58,57,3770,6.34,6.41,3.7
0.9,Very Good,H,SI1,60.8,57,3770,6.22,6.25,3.79
0.9,Fair,F,SI2,62.6,58,3787,6.01,6.06,3.78
1.01,Premium,E,SI2,61.8,61,3801,6.35,6.29,3.9
1.01,Very Good,J,SI2,62.8,59,3906,6.34,6.37,3.99
0.81,Ideal,F,VS1,61.5,55,3933,6.01,5.96,3.68
1.01,Very Good,G,SI2,62.1,61,3966,6.27,6.38,3.93
1.08,Good,J,VS2,64.3,58,3980,6.46,6.44,4.15
0.9,Very Good,H,VS2,62.1,57,3989,6.16,6.23,3.85
1,Very Good,H,SI2,63,61,4015,6.31,6.35,3.99
0.92,Premium,H,VS1,61.7,62,4039,6.2,6.12,3.8
0.71,Ideal,E,VS1,61.9,56,4053,5.7,5.73,3.54
0.96,Premium,G,SI2,61.1,59,4059,6.32,6.28,3.85
1.12,Premium,H,SI2,61,59,4077,6.72,6.66,4.08
0.91,Premium,H,VS2,61,59,4128,6.32,6.27,3.84
0.9,Very Good,G,VS2,63.4,59,4135,6.08,6.13,3.87
1,Premium,F,SI2,62.8,57,4155,6.44,6.37,4.02
1.01,Fair,H,SI1,64.6,55,4191,6.29,6.25,4.05
0.85,Very Good,D,VS2,61.8,56,4211,6.06,6.08,3.75
0.9,Very Good,H,VS1,63.5,59,4234,6.13,6.1,3.88
1.07,Premium,H,SI1,58.9,59,4235,6.76,6.71,3.97
1.02,Premium,F,SI2,62,59,4238,6.42,6.33,3.95
0.79,Ideal,E,VS1,62,56,4240,5.9,5.93,3.67
0.9,Ideal,G,SI2,60.7,57,4314,6.19,6.33,3.8
1.07,Very Good,E,SI1,60.4,63,4314,6.67,6.6,4.01
1.01,Fair,F,SI2,65.3,59,4317,6.28,6.24,4.09
1.12,Premium,I,VS2,62.4,58,4321,6.63,6.59,4.13
0.93,Very Good,E,SI2,60.5,57,4325,6.32,6.37,3.84
1.08,Ideal,H,SI1,62.2,57,4333,6.56,6.6,4.09
1.01,Very Good,E,SI2,63.5,55,4363,6.32,6.38,4.03
0.9,Premium,G,VS2,61.8,60,4386,6.16,6.21,3.82
1.09,Premium,H,SI2,61.2,62,4395,6.63,6.58,4.04
1.01,Premium,E,SI2,62.5,60,4434,6.42,6.39,4
0.9,Premium,D,VS2,58.7,62,4505,6.32,6.29,3.7
0.91,Fair,E,VS2,61.8,66,4550,6.11,6.09,3.77
1.05,Good,D,SI2,60,63,4560,6.59,6.64,3.97
1.11,Premium,E,SI2,62.5,58,4581,6.61,6.63,4.14
1.21,Premium,J,VS1,61,60,4675,6.88,6.83,4.18
1.01,Very Good,I,SI1,63.3,54,4749,6.34,6.36,4.02
1.01,Premium,E,SI2,62.6,59,4751,6.39,6.36,3.99
1.11,Ideal,I,SI1,62.3,58,4771,6.6,6.65,4.13
1.01,Ideal,H,SI1,62.9,55,4773,6.35,6.4,4.01
1.01,Very Good,I,SI1,63.5,53,4794,6.32,6.4,4.04
1.04,Good,F,SI1,63.1,57,4828,6.36,6.41,4.03
1.01,Very Good,F,SI1,63.5,59,4846,6.39,6.3,4.03
1.09,Very Good,F,SI2,63.2,58,4853,6.54,6.49,4.12
1.01,Ideal,H,SI1,62.3,59,4876,6.36,6.41,3.98
1.02,Very Good,H,SI1,63.4,57,4884,6.42,6.36,4.05
1.22,Premium,I,SI2,62.3,58,4919,6.85,6.8,4.25
1.05,Good,H,SI1,63.2,56,4937,6.47,6.51,4.1
1.01,Very Good,H,VS2,61,63,4959,6.38,6.41,3.9
1.15,Premium,H,SI2,62.9,56,4959,6.7,6.59,4.18
1.11,Premium,H,SI1,61.9,58,4960,6.63,6.59,4.09
1.12,Ideal,I,VS2,62.8,55,4986,6.69,6.66,4.19
1.03,Very Good,E,SI1,61.3,60,5010,6.51,6.53,4
1.24,Very Good,I,SI1,62.5,57,5046,6.84,6.89,4.29
1.01,Good,G,VS2,60.2,65,5050,6.55,6.48,3.92
1.16,Ideal,I,SI1,62.6,57,5091,6.71,6.67,4.19
1.01,Very Good,D,SI1,61.5,54,5132,6.4,6.47,3.96
1,Fair,H,VS1,64.6,59,5242,6.3,6.26,4.06
1.25,Ideal,I,SI2,61.8,56,5259,6.92,6.94,4.28
1,Premium,F,SI1,60.7,60,5292,6.4,6.36,3.87
1.07,Ideal,F,SI2,61.4,56,5313,6.57,6.63,4.05
1.13,Premium,H,SI1,62.1,58,5410,6.7,6.66,4.15
1.5,Ideal,I,I1,61.8,57,5412,7.31,7.39,4.54
0.91,Ideal,E,SI1,62.3,55,5431,6.2,6.23,3.87
0.9,Good,F,VVS2,61.8,63,5480,6.14,6.19,3.81
1,Fair,G,VS2,63.7,55,5484,6.28,6.21,3.98
1.2,Very Good,I,SI2,63.7,56,5490,6.66,6.71,4.26
1.01,Ideal,G,SI1,61.1,58,5497,6.43,6.49,3.95
1,Premium,E,SI1,61.6,59,5500,6.38,6.41,3.94
1.32,Very Good,J,SI2,61.7,60,5513,6.95,7.01,4.31
1.03,Premium,H,VS1,62,59,5523,6.45,6.48,4.01
1.03,Ideal,D,SI1,62.4,57,5551,6.44,6.47,4.03
1.05,Good,H,VS2,63.7,58,5592,6.45,6.4,4.09
1.1,Ideal,G,SI1,61.6,56,5610,6.59,6.68,4.09
1.01,Ideal,H,SI1,61.2,56,5664,6.44,6.47,3.95
1.01,Good,E,SI1,63.9,56,5724,6.37,6.31,4.05
1,Ideal,E,SI1,62.8,54.2,5728,6.32,6.4,4.01
1,Fair,E,VS2,67,54,5729,6.23,6.18,4.16
0.81,Ideal,E,VVS1,62.5,54,5752,5.95,5.98,3.73
1.2,Ideal,I,SI1,60.3,56,5763,6.87,6.97,4.17
1.06,Premium,G,VS2,62.3,59,5813,6.52,6.49,4.05
1.13,Premium,H,VS1,58.9,58,6005,6.81,6.78,4
1.04,Ideal,G,VS2,62.5,57,6012,6.45,6.54,4.06
1.01,Very Good,G,VS2,62.4,58,6019,6.42,6.4,4
1.2,Very Good,H,SI1,62.5,59,6019,6.66,6.72,4.18
1.22,Very Good,H,SI1,61.2,60,6071,6.83,6.9,4.2
1.34,Ideal,H,VS2,61.2,56,6078,7.09,7.05,4.33
1.07,Very Good,E,VS2,62.5,57,6120,6.53,6.6,4.1
1.01,Very Good,E,VS2,62.3,58,6310,6.39,6.45,4
1.01,Very Good,G,VS2,61.6,60,6406,6.42,6.47,3.97
1.34,Premium,G,SI2,61.7,58,6464,7.04,7.1,4.36
0.9,Very Good,E,VVS2,62,55,6466,6.08,6.17,3.8
1.03,Premium,G,VS1,62.1,59,6479,6.48,6.4,4
1.05,Ideal,G,VS2,61.9,56,6486,6.52,6.56,4.05
1,Very Good,F,VS2,61.1,60,6619,6.36,6.43,3.91
1.11,Premium,G,VS2,60.8,58,6713,6.7,6.65,4.06
1.21,Good,H,VS1,63.3,58,6748,6.72,6.77,4.27
1.12,Ideal,F,VS2,60.9,55,6858,6.73,6.67,4.08
1.15,Premium,G,VS2,62.9,58,6955,6.7,6.62,4.19
1.39,Good,F,SI2,63.8,55,6969,7.05,7.08,4.51
1.06,Ideal,D,VS2,62.5,54,6981,6.6,6.53,4.1
1.05,Very Good,G,VS1,62.3,56,7010,6.45,6.51,4.04
1.25,Ideal,I,VS1,61.4,58,7042,6.89,6.93,4.24
1.3,Very Good,H,VS2,62.5,59,7092,6.93,6.96,4.34
1.23,Ideal,I,VVS1,62.1,57,7117,6.9,6.83,4.26
1.32,Very Good,I,VS2,60.5,59,7125,7.02,7.06,4.26
1,Very Good,G,VVS2,63,56,7177,6.37,6.4,4.02
1.4,Premium,G,SI2,62,60,7225,7.1,7.16,4.42
1.19,Ideal,I,VS1,61.6,56,7328,6.81,6.83,4.2
1,Very Good,E,VS1,59.4,56,7367,6.53,6.56,3.89
1.2,Ideal,G,SI1,61.6,57,7372,6.85,6.88,4.23
1.56,Good,H,SI2,59.2,59,7554,7.46,7.54,4.44
1.27,Ideal,E,SI1,62.4,58,7631,6.87,6.91,4.3
1.08,Premium,F,VS2,62.1,59,7637,6.59,6.54,4.08
1.03,Ideal,F,VS1,61.5,56,7906,6.47,6.53,4
1.21,Very Good,F,VS2,63.5,55,7928,6.77,6.71,4.28
1.5,Premium,I,SI1,62.3,57,7955,7.28,7.22,4.52
1.3,Very Good,G,SI1,61,57,7985,7.01,7.06,4.29
1.15,Premium,F,VS1,62.7,58,8018,6.72,6.67,4.2
1.53,Ideal,I,SI2,61.3,59,8062,7.42,7.39,4.54
1.01,Premium,D,VS1,60,58,8286,6.6,6.54,3.94
1.7,Premium,F,SI2,60.2,61,8397,7.79,7.68,4.66
1.6,Ideal,J,SI1,62.8,55,8418,7.48,7.42,4.68
1.12,Ideal,D,VS2,62,55,8430,6.66,6.63,4.12
1.51,Very Good,F,SI2,63.2,60,8462,7.2,7.27,4.57
1.02,Ideal,E,VS1,62.6,56,8545,6.45,6.42,4.03
1.55,Ideal,J,VS1,60.4,57,8548,7.52,7.54,4.55
1.01,Ideal,F,VVS2,61,57,8688,6.52,6.46,3.96
1.27,Premium,G,VS2,61,60,8705,6.97,6.93,4.24
1.05,Ideal,F,VVS2,61.9,57,8870,6.5,6.52,4.03
1.6,Ideal,J,VS2,61.9,55,8886,7.51,7.54,4.66
1.24,Ideal,E,VS2,62.7,58,8887,6.79,6.86,4.28
1.12,Very Good,G,IF,60.9,57,8962,6.68,6.79,4.1
1.52,Very Good,D,SI2,63.2,58,9030,7.31,7.25,4.6
1.14,Ideal,F,VS1,61.7,55,9074,6.68,6.71,4.13
1.2,Premium,E,VS2,63,58,9139,6.75,6.71,4.24
1.16,Very Good,G,VVS2,61.6,58,9205,6.67,6.73,4.13
1.51,Ideal,I,VS2,61.6,57,9352,7.34,7.28,4.5
1.18,Ideal,E,VS1,62.4,54,9709,6.74,6.79,4.22
1.24,Premium,F,VS1,60.1,59,9738,6.99,7.02,4.21
1.51,Good,E,SI2,63.2,56,9833,7.26,7.32,4.61
1.5,Premium,E,SI2,61.2,59,9900,7.36,7.41,4.52
1.35,Premium,G,VS1,62.1,59,10012,7.06,7.02,4.37
1.89,Premium,G,SI2,62.9,58,10055,7.87,7.81,4.93
1.02,Ideal,E,VVS2,61.5,57,10384,6.55,6.5,4.01
1.61,Premium,F,SI1,60.2,58,10477,7.61,7.65,4.59
2,Premium,I,SI2,62.3,57,10528,8.12,8.05,5.03
1.28,Ideal,G,VVS2,61.2,54,10839,7.03,7.06,4.31
2,Fair,H,SI2,67.9,55,10913,7.67,7.58,5.18
1.01,Premium,D,VVS2,62.4,58,10927,6.44,6.39,4
1.18,Ideal,E,VS1,61.4,57,11104,6.77,6.81,4.17
1.56,Ideal,G,SI1,61.2,56,11522,7.49,7.51,4.59
1.52,Premium,F,SI1,62.6,59,11637,7.27,7.36,4.58
1.08,Ideal,E,VVS1,61,56,12098,6.66,6.62,4.05
1.09,Ideal,D,VVS2,61.3,57,12185,6.61,6.66,4.07
2,Very Good,J,SI1,62.2,59,12196,7.92,7.97,4.94
1.5,Premium,G,VS2,62.9,54,12308,7.31,7.26,4.58
1.7,Very Good,I,VS1,62.3,58.1,12311,7.57,7.66,4.74
2.01,Premium,J,SI2,62,59,12403,8.04,8.1,5
1.83,Premium,E,SI2,62,57,12492,7.89,7.81,4.87
1.63,Ideal,H,VS2,61.3,56,12620,7.6,7.57,4.65
2,Good,G,SI2,64.3,56,12654,7.93,7.89,5.09
